run,repeat,problem,seed,selected_feature_count,modeler_selected_features,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,fi_all_real_included,fi_real_only_success,modeler_metadata,run_root
40,5,goldstein_price,4044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_131040_692860_3456\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_131040_692860_3456
41,6,goldstein_price,5044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_131343_907305_1b5a\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_131343_907305_1b5a
42,7,goldstein_price,6044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_131645_202997_f2e5\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_131645_202997_f2e5
43,8,goldstein_price,7044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_131922_689057_39f5\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_131922_689057_39f5
44,9,goldstein_price,8044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_132225_459277_7c98\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_132225_459277_7c98
45,10,goldstein_price,9044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_132507_092443_f786\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_132507_092443_f786
46,11,goldstein_price,10044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_132826_310103_372e\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_132826_310103_372e
47,12,goldstein_price,11044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_133110_887987_8754\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_133110_887987_8754
48,13,goldstein_price,12044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_133431_182578_d42f\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_133431_182578_d42f
49,14,goldstein_price,13044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_133712_443750_5584\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_133712_443750_5584
50,15,goldstein_price,14044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_133959_418706_41e4\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_133959_418706_41e4
51,16,goldstein_price,15044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_134324_947028_8305\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_134324_947028_8305
52,17,goldstein_price,16044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_134602_193205_0345\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260901_091126\runs\run_goldstein_price_20260901_134602_193205_0345
