run,repeat,problem,seed,selected_feature_count,modeler_selected_features,modeler_selected_real_count,modeler_selected_dummy_count,modeler_real_coverage_pct,fi_all_real_included,fi_real_only_success,modeler_metadata,run_root
52,17,goldstein_price,16044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_172332_248904_e193\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_172332_248904_e193
53,18,goldstein_price,17044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_173034_856361_19fc\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_173034_856361_19fc
54,19,goldstein_price,18044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_173442_445676_271b\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_173442_445676_271b
55,20,goldstein_price,19044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_173720_045328_6c63\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_173720_045328_6c63
56,21,goldstein_price,20044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_173950_986606_662e\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_173950_986606_662e
57,22,goldstein_price,21044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_174236_248228_6633\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_174236_248228_6633
58,23,goldstein_price,22044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_174505_816117_fc3c\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_174505_816117_fc3c
59,24,goldstein_price,23044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_174742_458947_ee0f\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_174742_458947_ee0f
60,25,goldstein_price,24044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_175011_362537_8543\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_175011_362537_8543
61,26,goldstein_price,25044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_175249_782278_3fdf\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_175249_782278_3fdf
62,27,goldstein_price,26044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_175531_080921_4d91\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_175531_080921_4d91
63,28,goldstein_price,27044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_175821_364097_206c\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_175821_364097_206c
64,29,goldstein_price,28044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_180102_758839_3ee3\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_180102_758839_3ee3
65,30,goldstein_price,29044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_180412_167007_48f7\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_180412_167007_48f7
66,31,goldstein_price,30044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_180655_627190_5631\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_180655_627190_5631
67,32,goldstein_price,31044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_180948_613235_2a76\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_180948_613235_2a76
68,33,goldstein_price,32044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_181212_334155_2e64\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_181212_334155_2e64
69,34,goldstein_price,33044,2,"[""x2"", ""x1""]",2,0,100.0,True,True,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_181447_101814_1fdc\Modeler\metadata.json,C:\dev\PIDO\IIT_PIDO\result\bench\aion\20260902_115957\runs\run_goldstein_price_20260902_181447_101814_1fdc
