run,feature,is_dummy,rank,selected_count,final_score_adj,global_score,bootstrap_freq,null_margin
run_six_hump_camel_20260401_105146_201955_590d,x2,False,1,3,0.8431867646289419,0.8916249999999999,0.9333333333333332,0.1633869791666666
run_six_hump_camel_20260401_105146_201955_590d,x1,False,2,3,0.8029630074181596,0.878875,1.0,0.1329411458333333
run_six_hump_camel_20260401_105146_201955_590d,d2,True,3,3,0.7102394192363831,0.7778333333333333,0.9333333333333332,0.0359630208333333
run_six_hump_camel_20260401_110103_169140_8a55,x1,False,1,1,0.9423750354048436,0.960625,1.0,0.1589635416666668
run_six_hump_camel_20260401_133723_203374_b500,x1,False,1,3,0.9568479872554452,0.9703125,0.8666666666666667,0.2553463541666666
run_six_hump_camel_20260401_133723_203374_b500,x2,False,2,3,0.8558701877380746,0.8919999999999999,0.8666666666666667,0.1653713541666666
run_six_hump_camel_20260401_133723_203374_b500,d3,True,3,3,0.8156501792687889,0.8467499999999999,0.9333333333333332,0.1427135416666667
run_six_hump_camel_20260401_135618_161388_a00c,x1,False,1,1,0.9423750354048436,0.960625,1.0,0.1589635416666668
run_six_hump_camel_20260401_191004_866491_0a7c,x1,False,1,1,0.9771811924091276,0.9900625,1.0,0.3014052083333333
run_six_hump_camel_20260401_192901_584218_8010,x1,False,1,2,0.9633113671234886,0.971875,1.0,0.2510640625
run_six_hump_camel_20260401_192901_584218_8010,d3,True,2,2,0.9111931696029568,0.9544791666666664,1.0,0.2008359375
run_six_hump_camel_20260401_193448_589157_03df,x1,False,1,1,0.9831837787969756,1.0,1.0,0.3451395833333333
run_six_hump_camel_20260401_194047_792258_ec64,x1,False,1,1,0.997568193606237,0.9989375,1.0,0.3577375
run_six_hump_camel_20260327_105048_270704_e255,x1,False,1,3,0.9487919535491408,0.981,1.0,0.2603921875
run_six_hump_camel_20260327_105048_270704_e255,x2,False,2,3,0.8250477282783972,0.8627916666666665,1.0,0.1646489583333332
run_six_hump_camel_20260327_105048_270704_e255,d1,True,3,3,0.5568012598239217,0.6576145833333332,0.7,-0.0234246875
run_six_hump_camel_20260327_105727_532992_9dfd,x1,False,1,3,0.9568479872554452,0.9703125,1.0,0.2553463541666666
run_six_hump_camel_20260327_105727_532992_9dfd,x2,False,2,3,0.8558701877380746,0.8919999999999999,1.0,0.1653713541666666
run_six_hump_camel_20260327_105727_532992_9dfd,d3,True,3,3,0.8156501792687889,0.8467499999999999,1.0,0.1427135416666667
run_six_hump_camel_20260327_110027_354793_636d,x1,False,1,3,0.94989894401926,0.976875,1.0,0.194396875
run_six_hump_camel_20260327_110027_354793_636d,x2,False,2,3,0.797840083471787,0.8324687499999999,1.0,0.0432645833333332
run_six_hump_camel_20260327_110027_354793_636d,d2,True,3,3,0.7821258584455667,0.8215729166666667,0.9,0.0421973958333334
run_six_hump_camel_20260327_110440_650393_4b52,x2,False,1,3,0.8431867646289419,0.8916249999999999,0.9,0.1633869791666666
run_six_hump_camel_20260327_110440_650393_4b52,x1,False,2,3,0.8029630074181596,0.878875,1.0,0.1329411458333333
run_six_hump_camel_20260327_110440_650393_4b52,d2,True,3,3,0.7102394192363831,0.7778333333333333,1.0,0.0359630208333333
run_six_hump_camel_20260327_110554_746000_ed45,x2,False,1,3,0.881928703346431,0.907375,1.0,0.1203567708333334
run_six_hump_camel_20260327_110554_746000_ed45,x1,False,2,3,0.8142247490422427,0.8704166666666666,0.9,0.063853125
run_six_hump_camel_20260327_110554_746000_ed45,d2,True,3,3,0.6885243259466233,0.7625,0.7,-0.0255180989583333
run_six_hump_camel_20260327_110959_806316_3f3b,x2,False,1,4,0.8701795882257481,0.9025,1.0,0.1231541666666666
run_six_hump_camel_20260327_110959_806316_3f3b,x1,False,2,4,0.859977491655508,0.9021249999999998,0.9,0.1245302083333332
